Layer,Group,Category,Subcategory,Term,Subterm,,,,,,,,,,,,
,,,,Technology Adoption; Technology Diffusion,—,,,,,,,,,,,,
,,,,User Acceptance,—,,,,,,,,,,,,
,,,,Design for Adoption; Design for Diffusion,—,,,,,,,,,,,,
,,,,Design Adoption; Design Diffusion,—,,,,,,,,,,,,
,,,Needs & User Research,User Research,—,,,,,,,,,,,,
,,,,User Observation; Design Observation,—,,,,,,,,,,,,
,,,,Needs Analysis,—,,,,,,,,,,,,
,,,,Needs-Driven Design; Needs-Oriented Design,—,,,,,,,,,,,,
,,,,Design Listening; Listening-Led Design,—,,,,,,,,,,,,
,,,,Insight-Driven Design; Insight-Based Design,—,,,,,,,,,,,,
,,,,Desire-Driven Design; Desire-Centred Design; Design for Desire,—,,,,,,,,,,,,
,,,,Intent-Oriented Design; Intention-Driven Design; Design for Intent,—,,,,,,,,,,,,
,,,,User Feedback,—,,,,,,,,,,,,
,,,User Representation & Modelling,User Representation,—,,,,,,,,,,,,
,,,,User Model; User Modelling,—,,,,,,,,,,,,
,,,,User Profile; User Profiling,—,,,,,,,,,,,,
,,,,Persona; Persona Modelling,—,,,,,,,,,,,,
,,,,Empathy Map; Empathy Mapping,—,,,,,,,,,,,,
,,,,Preference Modelling,—,,,,,,,,,,,,
,,,,Stakeholder Representation,—,,,,,,,,,,,,
,,User Experience Design,Iteration & Prototyping Methods,Iterative Design; Design Iteration,—,,,,,,,,,,,,
,,,,Incremental Design,—,,,,,,,,,,,,
,,,,Continuous Design; Continuous Improvement Design,—,,,,,,,,,,,,
,,,,Kaizen Design,—,,,,,,,,,,,,
,,,,Agile Design,—,,,,,,,,,,,,
,,,,Rapid Iteration; Rapid Iterative Testing and Evaluation (RITE) Method,—,,,,,,,,,,,,
,,,,Prototype-Driven Design; Prototype-Based Design,—,,,,,,,,,,,,
,,,,Rapid Prototyping,—,,,,,,,,,,,,
,,,,Evolutionary Prototyping,—,,,,,,,,,,,,
,,,,Throwaway Prototyping,—,,,,,,,,,,,,
,,,,Fail-Fast Design; Fail-Forward Design,—,,,,,,,,,,,,
,,,,Design Sprint; Sprint Design,—,,,,,,,,,,,,
,,,,Redesign,—,,,,,,,,,,,,
,,,Personalisation & Customisation,User-Tailored Design; User-Specific Design,—,,,,,,,,,,,,
,,,,Bespoke Design; Tailor-Made Design,—,,,,,,,,,,,,
,,,,Personalised Design; Personalisation,—,,,,,,,,,,,,
,,,,Preference-Based Design,—,,,,,,,,,,,,
,,,,Customised Design; Custom Design; Customisation,—,,,,,,,,,,,,
,,,,Mass Customisation,—,,,,,,,,,,,,
,,,,Mass Personalisation,—,,,,,,,,,,,,
,,,,One-Off Design,—,,,,,,,,,,,,
,,,,Unique Design,—,,,,,,,,,,,,
,,,,Personalised Experience Design,—,,,,,,,,,,,,
,,,High End & Limited-Edition Design,Limited Edition Design,—,,,,,,,,,,,,
,,,,Limited Series Design,—,,,,,,,,,,,,
,,,,Exclusive Design; Exclusive Edition Design; Private Edition Design,—,,,,,,,,,,,,
,,,,Exclusive Experience Design,—,,,,,,,,,,,,
,,,,Premium Design; High-End Design,—,,,,,,,,,,,,
,,,,Collector’s Edition Design,—,,,,,,,,,,,,
,,,Smooth & Seamless Experience,Seamless Experience Design; Seamless Design,—,,,,,,,,,,,,
,,,,Cross-Platform Design; Cross-Device Design; Multi-Platform Design; Omni-Platform Design,—,,,,,,,,,,,,
,,,,Omnichannel Design; Cross-Channel Design; Multichannel Design,—,,,,,,,,,,,,
,,,,Continuous Experience Design; Continuity Design,—,,,,,,,,,,,,
,,,,Unified Experience Design,—,,,,,,,,,,,,
,,,,Platform-Agnostic Design; Device-Agnostic Design,—,,,,,,,,,,,,
,,,Client-/Customer-Centred Design,Client-Centred Design; Client-Centric Design,—,,,,,,,,,,,,
,,,,Client-Led Design,—,,,,,,,,,,,,
,,,,Customer-Centred Design; Customer-Centric Design,—,,,,,,,,,,,,
,,,,Customer Experience Design (CXD),—,,,,,,,,,,,,
,,,,Customer Lifecycle Design,—,,,,,,,,,,,,
,,,,Customer-Led Design,—,,,,,,,,,,,,
,,,,Customer Journey Design,—,,,,,,,,,,,,
,,,Experience Design,Experience Design (XD); Experience-Centred Design; Experience-Driven Design,—,,,,,,,,,,,,
,,,,User Experience Design (UXD),—,,,,,,,,,,,,
,,,,Design-as-Experience,—,,,,,,,,,,,,
,,,,Comfort Design,Physical Comfort; Physiological Comfort; Psychological Comfort; Emotional Comfort; Socio-Cultural Comfort,,,,,,,,,,,,
,,,Human-/User-Centred Design,User-Centred Design (UCD); User-Centric Design,—,,,,,,,,,,,,
,,,,Human-Centred Design (HCD); Human-Centric Design,—,,,,,,,,,,,,
,,,,People-Centred Design; People-First Design,—,,,,,,,,,,,,
,,,,Humanised Design,—,,,,,,,,,,,,
,,,,Empathic Design; Empathetic Design; Empathy-Driven Design,—,,,,,,,,,,,,
,,,,Task-Centred Design,—,,,,,,,,,,,,
,,,,Activity-Centred Design,—,,,,,,,,,,,,
,,,,Work-Centred Design; Design for Work Practices,—,,,,,,,,,,,,
,,,Design Thinking,Design Thinking (DT),—,,,,,,,,,,,,
,,,,Design Desirability,User Desirability; Emotional Desirability; Cultural Desirability; Social Desirability,,,,,,,,,,,,
,,,,Design Feasibility,—,,,,,,,,,,,,
,,,,Design Viability,—,,,,,,,,,,,,
,,,,Strategic Design Thinking; Business Design Thinking,—,,,,,,,,,,,,
,,,,Systemic Design Thinking; Systems Design Thinking,—,,,,,,,,,,,,
,,Behavioural Design,Behavioural Science & Research,Behavioural Science,—,,,,,,,,,,,,
,,,,Behavioural Economics,—,,,,,,,,,,,,
,,,,Behavioural Economics in Design,—,,,,,,,,,,,,
,,,,Behavioural Insights,—,,,,,,,,,,,,
,,,,Psychoanalytic Design Theory; Design Psychoanalysis,—,,,,,,,,,,,,
,,,,Behavioural Decision Theory (BDT); Judgment and Decision Making (JDM),—,,,,,,,,,,,,
,,,,Heuristics & Biases (H&B); Judgment under Uncertainty,—,,,,,,,,,,,,
,,,,Bounded Rationality; Satisficing; Bounded Rationality Design; Limited Rationality Design; Satisficing Design; Good-Enough Design,—,,,,,,,,,,,,
,,,,Prospect Theory (PT),—,,,,,,,,,,,,
,,,,Dual-Process Theory (DPT); System 1 & System 2,—,,,,,,,,,,,,
,,,Behaviour-Oriented Design,Behavioural Design,—,,,,,,,,,,,,
,,,,Behavioural Insight Design,—,,,,,,,,,,,,
,,,,Behaviour Change Design,—,,,,,,,,,,,,
,,,,Behaviour-Centred Design (BCD),—,,,,,,,,,,,,
,,,,Nudge Design; Nudge Theory,—,,,,,,,,,,,,
,,,,Digital Nudging,—,,,,,,,,,,,,
,,,,Persuasive Design,—,,,,,,,,,,,,
,,,,Behaviour Design; Fogg Behaviour Model (FBM),—,,,,,,,,,,,,
,,,,Design for Sustainable Behaviour,—,,,,,,,,,,,,
,,,,Gamified Behaviour Design; Gamification for Behaviour Change,—,,,,,,,,,,,,
,,,,Design Determinism,—,,,,,,,,,,,,
,,,Motivation & Gratification,Aspirational Design,—,,,,,,,,,,,,
,,,,Inspirational Design,—,,,,,,,,,,,,
,,,,Motivational Design,—,,,,,,,,,,,,
,,,,Incentive Design,—,,,,,,,,,,,,
,,,,Gamification Design; Gameful Design; Gamified Design,—,,,,,,,,,,,,
,,,,Reward Design,—,,,,,,,,,,,,
,,,,Instant Gratification Design; Instant Reward Design,—,,,,,,,,,,,,
,,,,Delayed Gratification Design; Postponed Reward Design,—,,,,,,,,,,,,
,,,,Habit Formation Design; Habit-Building Design,—,,,,,,,,,,,,
,,,,Addictive Design; Compulsive Design; Hooked Design,—,,,,,,,,,,,,
,,,Covert & Manipulative Design,Hidden Design; Covert Design; Covert Communication Design; Hidden Communication Design,—,,,,,,,,,,,,
,,,,Manipulative Design; Seductive Design; Devious Design,—,,,,,,,,,,,,
,,,,Dark Patterns; Deceptive Patterns; Deceptive Design; Dark UX,—,,,,,,,,,,,,
,,,,Obfuscatory Design; Design Obfuscation,—,,,,,,,,,,,,
,,,,Malicious Design,—,,,,,,,,,,,,
,,,,Addictive Design,—,,,,,,,,,,,,
,,"Psychology, Perception & Cognition",Psychology in Design,Design Psychology,—,,,,,,,,,,,,
,,,,Environmental Psychology and Design (EP-Design); Environmental Psychology in Design,—,,,,,,,,,,,,
,,,,Psychology-Informed Design; Psychologically Informed Design,—,,,,,,,,,,,,
,,,Perception in Design,Design Perception,—,,,,,,,,,,,,
,,,,Perceptual Design; Design for Perception; Perception-Centric Design,—,,,,,,,,,,,,
,,,,Perceptual Engineering,—,,,,,,,,,,,,
,,,,Perceptual Illusions; Illusory Perception Design,—,,,,,,,,,,,,
,,,,Perceptual Grouping,—,,,,,,,,,,,,
,,,,Gestalt-Based Design; Gestalt Theory; Gestalt Principles,—,,,,,,,,,,,,
,,,Cognition in Design,Pre-Cognitive Design,—,,,,,,,,,,,,
,,,,First Impression Design,—,,,,,,,,,,,,
,,,,Mental Model; Mental Model Mismatch,—,,,,,,,,,,,,
,,,,Cognitive Model,—,,,,,,,,,,,,
,,,,Cognitive Design,—,,,,,,,,,,,,
,,,,Cognitive-Inspired Design,—,,,,,,,,,,,,
,,,,Information Processing in Design,—,,,,,,,,,,,,
,,,,Attention Design,—,,,,,,,,,,,,
,,,,Epistemic Design,—,,,,,,,,,,,,
,,,Subconsciousness in Design,Subconscious Design; Unconscious Design; Subliminal Design,—,,,,,,,,,,,,
,,,,Affective Priming in Design; Emotional Priming Design,—,,,,,,,,,,,,
,,,,Unconscious Bias in Design,—,,,,,,,,,,,,
,,,,Archetypal Design; Symbolic Subconscious Design,—,,,,,,,,,,,,
,,,Neurocognition in Design,Neurodesign; Neuroscience-Based Design,—,,,,,,,,,,,,
,,,,Neurocognitive Design,—,,,,,,,,,,,,
,,,,Neuroaesthetic Design; Neuroaesthetics,—,,,,,,,,,,,,
,,,,Neuroarchitecture; Neuro-Architectural Design,—,,,,,,,,,,,,
,,,,Neuromarketing Design,—,,,,,,,,,,,,
,,,,Neuro User Experience Design; Neuro-Interaction Design,—,,,,,,,,,,,,
,,Affect & Emotion,Affect & Emotion Theory,Affect; Emotion; Mood; Feeling; Sentiment; Sensibility; Kansei,—,,,,,,,,,,,,
,,,,Affect Theory; Design Affect Theory,—,,,,,,,,,,,,
,,,,Embodied Affect,—,,,,,,,,,,,,
,,,,Core Affect,—,,,,,,,,,,,,
,,,,Theory of Constructed Emotion; Constructivist Emotion Theory,—,,,,,,,,,,,,
,,,,Affective Science,—,,,,,,,,,,,,
,,,Affective & Emotional Design,Affective Design,—,,,,,,,,,,,,
,,,,Design for Emotion,—,,,,,,,,,,,,
,,,,Emotional Design,—,,,,,,,,,,,,
,,,,Emotive Design,—,,,,,,,,,,,,
,,,,Kansei Engineering; Emotional Engineering; Kansei Design,—,,,,,,,,,,,,
,,,,Emotional Durability Design; Emotional Sustainability Design,—,,,,,,,,,,,,
,,,,Emotionally Neutral Design; Non-Emotional Design,—,,,,,,,,,,,,
,,,,Affective Affordance; Emotional Affordance,—,,,,,,,,,,,,
,,,,Emotion Regulation Design,—,,,,,,,,,,,,
,,,Atmosphere & Immersion,Experiential Design; Experiential Interaction,—,,,,,,,,,,,,
,,,,Immersive Design; Immersive Experience; Immersive Interaction,—,,,,,,,,,,,,
,,,,Atmospheric Design; Design for Atmosphere,—,,,,,,,,,,,,
,,,,Affective Atmosphere; Atmospherics,—,,,,,,,,,,,,
,,,,Spatial Atmosphere Design,—,,,,,,,,,,,,
,,,,Ambient Design; Ambient Experience; Ambient Interaction Design,—,,,,,,,,,,,,
,,,Design for Specific Emotional Experiences,Entertainment Design; Design for Entertainment; Experiential Entertainment Design,—,,,,,,,,,,,,
,,,,Design for Delight; Design for Pleasure; Delightful Design; Pleasurable Design,—,,,,,,,,,,,,
,,,,Hedonic Design,—,,,,,,,,,,,,
,,,,Nostalgic Design,—,,,,,,,,,,,,
,,,,Dramatic Design,—,,,,,,,,,,,,
,,,,Design for Empathy; Empathy Design,—,,,,,,,,,,,,
,,,,Ephemeral Design; Ephemerality Design,—,,,,,,,,,,,,
,,,,Temporal Design; Time-Based Design; Design Temporality,—,,,,,,,,,,,,
,Group 26,Senses & Modalities,Modalities & Multimodal Design,Design Modalities,—,,,,,,,,,,,,
,,,,Modal Design; Modality-Driven Design; Modality-Centric Design,—,,,,,,,,,,,,
,,,,Unimodal Design,—,,,,,,,,,,,,
,,,,Multimodal Design; Multimodality,—,,,,,,,,,,,,
,,,,Cross-Modal Design,—,,,,,,,,,,,,
,,,,Multimodal Interaction; Multimodal Interface,—,,,,,,,,,,,,
,,,,Cross-Modal Interaction; Cross-Modal Interface,—,,,,,,,,,,,,
,,,,Modality Fusion; Multimodal Fusion,—,,,,,,,,,,,,
,,,,Modality Mapping; Cross-Modality Mapping; Crossmodal Correspondence,—,,,,,,,,,,,,
,,,,Modality Switching,—,,,,,,,,,,,,
,,,,Modality Redundancy; Redundant Modalities,—,,,,,,,,,,,,
,,,Senses & Multisensory Design,Sensory Engineering,—,,,,,,,,,,,,
,,,,Sensory Design,—,,,,,,,,,,,,
,,,,Multisensory Design,—,,,,,,,,,,,,
,,,,Cross-Sensory Design; Sensory Crossover,—,,,,,,,,,,,,
,,,,Synaesthetic Design; Design for Synaesthesia,—,,,,,,,,,,,,
,,,,Multisensory Interaction; Multisensory Interface,—,,,,,,,,,,,,
,,,,Sensory Integration; Multisensory Integration,—,,,,,,,,,,,,
,,,,Sensory Augmentation,—,,,,,,,,,,,,
,,,,Sensory Feedback; Multisensory Feedback,—,,,,,,,,,,,,
,,,Specific Senses,Haptic Design,—,,,,,,,,,,,,
,,,,Tactile Design,—,,,,,,,,,,,,
,,,,Auditory Design; Sonic Interaction Design,—,,,,,,,,,,,,
,,,,Olfactory Design; Scent Design,—,,,,,,,,,,,,
,,,,Taste Design; Gustatory Design,—,,,,,,,,,,,,
,,,,Thermal Design; Temperature-Based Design,—,,,,,,,,,,,,
,,,,Vestibular Design; Balance-Oriented Design,—,,,,,,,,,,,,
,,,,Proprioceptive Design; Body Awareness Design,—,,,,,,,,,,,,
,,,,Nociceptive Design; Pain-Based Design,—,,,,,,,,,,,,
,,,,Kinaesthetic Design,—,,,,,,,,,,,,
,,Ergonomics & Human Factors,Human Factors & Ergonomic Design,Human Factors; Ergonomics; Human Factors & Ergonomics (HF/E); Human Factors Engineering,—,,,,,,,,,,,,
,,,,Ergonomic Design; Human Factors Design,—,,,,,,,,,,,,
,,,Physical Ergonomics,Physical Ergonomics,—,,,,,,,,,,,,
,,,,Biomechanical Design; Biomechanics Design,—,,,,,,,,,,,,
,,,,Anthropometric Design; Percentile-Based Design; Anthropometry-Based Design,—,,,,,,,,,,,,
,,,,Postural Ergonomics; Postural Design,—,,,,,,,,,,,,
,,,,Musculoskeletal Ergonomics; Musculoskeletal Design,—,,,,,,,,,,,,
,,,,Manual Handling Design,—,,,,,,,,,,,,
,,,Cognitive Ergonomics,Cognitive Ergonomics,—,,,,,,,,,,,,
,,,,Mental Workload,—,,,,,,,,,,,,
,,,,Cognitive Load Theory (CLT); Cognitive Load; Cognitive Overload,—,,,,,,,,,,,,
,,,,Situation Awareness; Situational Awareness,—,,,,,,,,,,,,
,,,,Vigilance; Sustained Attention,—,,,,,,,,,,,,
,,,,Mental Fatigue; Cognitive Fatigue,—,,,,,,,,,,,,
,,,,Cognitive State; Cognitive State Assessment,—,,,,,,,,,,,,
,,,,Human Error; Error Management; Human Reliability,—,,,,,,,,,,,,
,,,,Decision Making; Naturalistic Decision Making; Recognition-Primed Decision,—,,,,,,,,,,,,
,,,,Neuroergonomics; Neuroergonomic Design,—,,,,,,,,,,,,
,,,Organisational Ergonomics,Organisational Ergonomics; Macroergonomics,—,,,,,,,,,,,,
,,,,Work System Design,—,,,,,,,,,,,,
,,,,Teamwork Design; Collaborative Ergonomics; Workgroup Ergonomics,—,,,,,,,,,,,,
,,,,Work Design; Job Design; Job Crafting,—,,,,,,,,,,,,
,,,,Organisational Communication,—,,,,,,,,,,,,
,,,,Organisational Learning,—,,,,,,,,,,,,
,,,,High Reliability Organisation (HRO),—,,,,,,,,,,,,
,,,,Organisational Resilience,—,,,,,,,,,,,,
,,Interaction Design,Embodiment & Enactive Design,Perception–Action Coupling; Perception–Action Cycle; Perception–Action Loop,—,,,,,,,,,,,,
,,,,Sensorimotor Coupling,—,,,,,,,,,,,,
,,,,Sensorimotor Integration,—,,,,,,,,,,,,
,,,,Sensorimotor Contingencies; Sensorimotor Contingency Theory,—,,,,,,,,,,,,
,,,,Embodied Cognition,—,,,,,,,,,,,,
,,,,Embodied Design,—,,,,,,,,,,,,
,,,,Embodied Interaction; Embodied Interaction Design,—,,,,,,,,,,,,
,,,,Enactive Cognition,—,,,,,,,,,,,,
,,,,Enactive Design; Design for Enaction,—,,,,,,,,,,,,
,,,,Body-Centred Design; Body-Centric Design; Body-Oriented Design,—,,,,,,,,,,,,
,,,,Body-Aware Design,—,,,,,,,,,,,,
,,,,Somatic Design,—,,,,,,,,,,,,
,,,,Soma Design; Soma-Centred Design,—,,,,,,,,,,,,
,,,,Somaesthetic Design,—,,,,,,,,,,,,
,,,Context-Aware & Adaptive Interaction,Ambient Awareness,—,,,,,,,,,,,,
,,,,Context-Awareness,—,,,,,,,,,,,,
,,,,Context-Aware Design; Context-Aware Computing,—,,,,,,,,,,,,
,,,,Context-Sensitive Design,—,,,,,,,,,,,,
,,,,Ubiquitous Design; Pervasive Design; Ubiquitous Computing; Pervasive Computing,—,,,,,,,,,,,,
,,,,Situated Interaction; Contextual Interaction,—,,,,,,,,,,,,
,,,,Smart Environment Design; Ambient Intelligence Design,—,,,,,,,,,,,,
,,,,Adaptive Design; Adaptive User Interface,—,,,,,,,,,,,,
,,,,Responsive Design,—,,,,,,,,,,,,
,,,,Real-Time Interaction,—,,,,,,,,,,,,
,,,,Predictive User Interface,—,,,,,,,,,,,,
,,,,Proactive Interaction Design; Anticipatory Interaction,—,,,,,,,,,,,,
,,,,Biofeedback Design,—,,,,,,,,,,,,
,,,,Emotion-Aware Design; Affective Interaction,—,,,,,,,,,,,,
,,,,Affective Computing,—,,,,,,,,,,,,
,,,,Mood-Based Interaction,—,,,,,,,,,,,,
,,,Interfaces & Interaction Methods,User Interface (UI) Design; Interface Design,—,,,,,,,,,,,,
,,,,Interaction Design (IxD); Interactive Design,—,,,,,,,,,,,,
,,,,Interactive System Design,—,,,,,,,,,,,,
,,,,Interaction Metaphor; Interface Metaphor,—,,,,,,,,,,,,
,,,,Natural User Interface (NUI),—,,,,,,,,,,,,
,,,,Graphical User Interface (GUI),—,,,,,,,,,,,,
,,,,Voice User Interface (VUI),—,,,,,,,,,,,,
,,,,Conversational User Interface (CUI),—,,,,,,,,,,,,
,,,,Haptic Interaction,—,,,,,,,,,,,,
,,,,Gesture-Based Interaction,—,,,,,,,,,,,,
,,,,Gaze-Based Interaction; Eye-Tracking Interaction,—,,,,,,,,,,,,
,,,,Proxemic Interaction,—,,,,,,,,,,,,
,,,,Spatial Interaction,—,,,,,,,,,,,,
,,,,Touchless Interaction; Contactless Interaction,—,,,,,,,,,,,,
,,,,Brain–Computer Interface (BCI); Neural Interface,—,,,,,,,,,,,,
,,,,Tangible Interaction; Tangible User Interface (TUI),—,,,,,,,,,,,,
,,,,Narrative Interaction,—,,,,,,,,,,,,
,,,,Distributed User Interface (DUI); Cross-Device Interaction,—,,,,,,,,,,,,
,,,,Multi-User Interaction; Collaborative Interaction,—,,,,,,,,,,,,
,,,Interaction Objects & Paradigms,Human–Artifact Interaction,—,,,,,,,,,,,,
,,,,Human–Artifact–System Interaction,—,,,,,,,,,,,,
,,,,Human–Computer Interaction (HCI),—,,,,,,,,,,,,
,,,,Human–Machine Interaction (HMI),—,,,,,,,,,,,,
,,,,Human–Technology Interaction (HTI),—,,,,,,,,,,,,
,,,,Human–Agent Interaction,—,,,,,,,,,,,,
,,,,Human–Robot Interaction (HRI),—,,,,,,,,,,,,
,,,,Human–Environment Interaction,—,,,,,,,,,,,,
,,,,Human–Information Interaction,—,,,,,,,,,,,,
,,,,Human–Cyber-Physical Interaction,—,,,,,,,,,,,,
,,,Human-AI Interaction,Human–AI Interaction,—,,,,,,,,,,,,
,,,,Human–AI Collaboration; Human–AI Teaming; Human–AI Synergy,—,,,,,,,,,,,,
,,,,Human–AI Co-Creation; Human–AI Co-Design,—,,,,,,,,,,,,
,,,,Human-AI Partnership,—,,,,,,,,,,,,
,,,,Human-in-the-Loop (HITL) Design,—,,,,,,,,,,,,
,,,,Human-Compatible System Design,—,,,,,,,,,,,,
,,,,Human-Centred AI,—,,,,,,,,,,,,
,,,,Human–AI Hybrid; Hybrid Intelligence; Human–AI Symbiosis,—,,,,,,,,,,,,
,,,,Collaborative Intelligence,—,,,,,,,,,,,,
,,,Usability & Affordance,Usability,—,,,,,,,,,,,,
,,,,Design for Usability; Usability Design,—,,,,,,,,,,,,
,,,,Usability Testing,—,,,,,,,,,,,,
,,,,User-Friendly Design,—,,,,,,,,,,,,
,,,,Design for Efficiency; Efficiency-Oriented Design,—,,,,,,,,,,,,
,,,,Design for Productivity; Productivity-Oriented Design,—,,,,,,,,,,,,
,,,,Intuitive Design,—,,,,,,,,,,,,
,,,,Invisible Design,—,,,,,,,,,,,,
,,,,Learnability,—,,,,,,,,,,,,
,,,,Affordance; Perceived Affordance,—,,,,,,,,,,,,
,,,,Affordance-Based Design; Affordance Design,—,,,,,,,,,,,,
,,,,Signifier,—,,,,,,,,,,,,
,,,,Discoverability,—,,,,,,,,,,,,
,,,"Trust, Transparency & Explainability",Trustworthy Design; Design for Trust,—,,,,,,,,,,,,
,,,,Trust Calibration,—,,,,,,,,,,,,
,,,,Transparent Design; Design Transparency,—,,,,,,,,,,,,
,,,,Explainable Design; Design Explainability; Explainable AI (XAI),—,,,,,,,,,,,,
,,,,Black-Box Design; Opaque Design; Design Opacity,—,,,,,,,,,,,,
,,,,Reputation-Based Design; Design for Reputation,—,,,,,,,,,,,,
,,,Simplification & Essentialism,Design Simplification; Simplified Design,—,,,,,,,,,,,,
,,,,Simple Design,—,,,,,,,,,,,,
,,,,Reductive Design,—,,,,,,,,,,,,
,,,,Subtractive Design,—,,,,,,,,,,,,
,,,,Essential Design,—,,,,,,,,,,,,
,,,,Essential Experience Design,—,,,,,,,,,,,,
,,,,Essentialist Design; Essentialism in Design,—,,,,,,,,,,,,
,,,,Design Clarity; Clarity-Driven Design,—,,,,,,,,,,,,
,,,Gamification & Play,Game Design,—,,,,,,,,,,,,
,,,,Playability,—,,,,,,,,,,,,
,,,,Play Theory,—,,,,,,,,,,,,
,,,,Playful Design; Design for Play,—,,,,,,,,,,,,
,,,,Experiential Play Design,—,,,,,,,,,,,,
,,,,Serious Play Design; Serious Game Design,—,,,,,,,,,,,,
,,,,Funology,—,,,,,,,,,,,,
,,,,Fun-Oriented Design,—,,,,,,,,,,,,
,,,,Ludic Design,—,,,,,,,,,,,,
,,,,Ludic Engagement,—,,,,,,,,,,,,
,,,Physical-Digital Systems & Wearables,Wearable Design,—,,,,,,,,,,,,
,,,,Embodied Wearable Interaction,—,,,,,,,,,,,,
,,,,Extended Reality (XR) Design,Virtual Reality (VR) Design; Augmented Reality (AR) Design; Mixed Reality (MR) Design,,,,,,,,,,,,
,,,,Phygital Design,—,,,,,,,,,,,,
,,,,Cyber-Physical Design; Cyber-Physical System (CPS) Design,—,,,,,,,,,,,,
,,,,Digital Twin Design,—,,,,,,,,,,,,
,,,,Holo-Interaction Design,—,,,,,,,,,,,,
,,,,Metaverse Design,—,,,,,,,,,,,,
,,,,Digital Ecosystem Design,—,,,,,,,,,,,,
,,,,Digital Design,—,,,,,,,,,,,,
,,,,Digital Design Culture,—,,,,,,,,,,,,
,,,Smart Product & System Design,Smart Design; Intelligent Design; Smart System Design,—,,,,,,,,,,,,
,,,,Smart Product Design; Connected Product Design; IoT Product Design; Smart and Connected Product Design,—,,,,,,,,,,,,
,,,,Smart Service Design; Smart Product–Service System (Smart PSS) Design,—,,,,,,,,,,,,
,,,,Sensor-Based Design; Sensor-Driven Design,—,,,,,,,,,,,,
,,,,Sensor-Integrated Design; Sensor-Embedded Design,—,,,,,,,,,,,,
,Group 27,Information & Media Design,Media & Multimedia Design,Media Design,—,,,,,,,,,,,,
,,,,Multimedia Design,—,,,,,,,,,,,,
,,,,Cross-Media Design,—,,,,,,,,,,,,
,,,,Transmedia Design,—,,,,,,,,,,,,
,,,,Intermedia Design; Intermediality in Design,—,,,,,,,,,,,,
,,,,Hybrid Media Design,—,,,,,,,,,,,,
,,,,Creative Media Design,—,,,,,,,,,,,,
,,,,New Media Design; Digital Media Design,—,,,,,,,,,,,,
,,,,Immersive Media Design,—,,,,,,,,,,,,
,,,,Interactive Media Design,—,,,,,,,,,,,,
,,,,Generative Media Design; Computational Media Design,—,,,,,,,,,,,,
,,,Sensemaking,Design-Enabled Sensemaking,—,,,,,,,,,,,,
,,,,Sensemaking Design; Design for Sensemaking,—,,,,,,,,,,,,
,,,,Social Sensemaking Design; Design for Social Sensemaking,—,,,,,,,,,,,,
,,,,Embodied Sensemaking; Embodiment in Sensemaking,—,,,,,,,,,,,,
,,,,Collaborative Sensemaking; Participatory Sensemaking,—,,,,,,,,,,,,
,,,Information Design,Information Design; Informational Design,—,,,,,,,,,,,,
,,,,Information Architecture; Information Structure,—,,,,,,,,,,,,
,,,,Navigation Design; Navigational Design,—,,,,,,,,,,,,
,,,,Taxonomy Design; Taxonomical Design; Taxonomy Architecture,—,,,,,,,,,,,,
,,,,Multilingual Design; Multi-Lingual Information Design,—,,,,,,,,,,,,
,,,,Text Design; Textual Design,—,,,,,,,,,,,,
,,,Visualisation,Visualisation Design; Visualisation; Data Visualisation; Information Visualisation,—,,,,,,,,,,,,
,,,,Scientific Visualisation,—,,,,,,,,,,,,
,,,,Interactive Visualisation,—,,,,,,,,,,,,
,,,,Narrative Visualisation; Explanatory Visualisation; Interpretive Visualisation,—,,,,,,,,,,,,
,,,,Persuasive Visualisation; Rhetorical Visualisation,—,,,,,,,,,,,,
,,,,Artistic Visualisation; Expressive Visualisation,—,,,,,,,,,,,,
,,,,Visual Analytics; Analytic Visualisation,—,,,,,,,,,,,,
,Group 28,Technology,Technology & Design,Technology-Driven Design; Technology-Enabled Design,—,,,,,,,,,,,,
,,,,Technocentric Design,—,,,,,,,,,,,,
,,,,Invention-Led Design,—,,,,,,,,,,,,
,,,,Design for Technology Transfer; Technology Transfer through Design,—,,,,,,,,,,,,
,,,,Technical Design; Technological Design,—,,,,,,,,,,,,
,,,,Techno-Aesthetics Design; Techno-Art Design,—,,,,,,,,,,,,
,,,,Techno-Futurism Design,—,,,,,,,,,,,,
,,,,Design–Technology Integration; Design–Technology Co-Evolution,—,,,,,,,,,,,,
,,,Technical Ethics,Technological Determinism; Techno-Determinism,—,,,,,,,,,,,,
,,,,Technocratic Design,—,,,,,,,,,,,,
,,,,Technological Utopianism; Techno-Utopianism; Technological Optimism; Techno-Optimism,—,,,,,,,,,,,,
,,,,Technological Dystopianism; Techno-Dystopianism; Technological Pessimism; Techno-Pessimism,—,,,,,,,,,,,,
,,,,Critical Techno-Design; Techno-Ethical Design,—,,,,,,,,,,,,
,,,,Humane Technology; Humanising Technology,—,,,,,,,,,,,,
,,,,Human-Centred Technology,—,,,,,,,,,,,,
,,,,Techno-Anthropology,—,,,,,,,,,,,,
,,Technology-Assisted Design,Computation & Modelling Methods,Model-Based Design,—,,,,,,,,,,,,
,,,,Simulation-Based Design,—,,,,,,,,,,,,
,,,,Feature-Based Design,—,,,,,,,,,,,,
,,,,Parametric Design,—,,,,,,,,,,,,
,,,,Graph-Based Design,—,,,,,,,,,,,,
,,,,Rule-Based Design,—,,,,,,,,,,,,
